School,Nickname,City,State/Province,Conference,Division
Alice Lloyd College,Eagles,Pippa Passes,Kentucky,River States Conference,2
Allen University,Yellow Jackets,Columbia,South Carolina,Appalachian Athletic Conference,2
University of Antelope Valley,Pioneers,Lancaster,California,California Pacific Conference,2
Aquinas College,Saints,Grand Rapids,Michigan,Wolverine–Hoosier Athletic Conference,2
Arizona Christian University,Firestorm,Phoenix,Arizona,Golden State Athletic Conference,1
Asbury University,Eagles,Wilmore,Kentucky,River States Conference,2
Ave Maria University,Gyrenes,Ave Maria,Florida,Sun Conference,2
Avila University,Eagles,Kansas City,Missouri,Heart of America Athletic Conference,1
Bacone College,Warriors,Muskogee,Oklahoma,Sooner Athletic Conference,1
Baker University,Wildcats,Baldwin City,Kansas,Heart of America Athletic Conference,1
Bellevue University,Bruins,Bellevue,Nebraska,North Star Athletic Association,2
Benedictine College,Ravens,Atchison,Kansas,Heart of America Athletic Conference,1
Benedictine University at Mesa,Redhawks,Mesa,Arizona,California Pacific Conference,2
Bethany College,Swedes,Lindsborg,Kansas,Kansas Collegiate Athletic Conference,2
Bethel University,Wildcats,McKenzie,Tennessee,Southern States Athletic Conference,1
Bethel College (IN),Pilots,Mishawaka,Indiana,Crossroads League,2
Bethel College (KS),Threshers,North Newton,Kansas,Kansas Collegiate Athletic Conference,2
Blue Mountain College,Toppers,Blue Mountain,Mississippi,Southern States Athletic Conference,1
Bluefield College,Rams,Bluefield,Virginia,Appalachian Athletic Conference,2
Brenau University,Golden Tigers,Gainesville,Georgia,Appalachian Athletic Conference,2
Brescia University,Bearcats,Owensboro,Kentucky,River States Conference,2
Brewton–Parker College,Barons,Mount Vernon,Georgia,Southern States Athletic Conference,1
Briar Cliff University,Chargers,Sioux City,Iowa,Great Plains Athletic Conference,2
University of British Columbia,Thunderbirds,Vancouver,British Columbia,Association of Independent Institutions,–
Bryan College,Lions,Dayton,Tennessee,Appalachian Athletic Conference,2
California State University Maritime Academy,Keelhaulers,Vallejo,California,California Pacific Conference,2
"University of California, Merced",Golden Bobcats,Merced,California,California Pacific Conference,2
Calumet College of St. Joseph,Crimson Wave,Whiting,Indiana,Chicagoland Collegiate Athletic Conference,2
Campbellsville University,Tigers,Campbellsville,Kentucky,Mid-South Conference,1
Cardinal Stritch University,Wolves,Milwaukee,Wisconsin,Chicagoland Collegiate Athletic Conference,2
Carlow University,Celtics,Pittsburgh,Pennsylvania,River States Conference,2
Carroll College,Fighting Saints,Helena,Montana,Frontier Conference,1
Central Baptist College,Mustangs,Conway,Arkansas,American Midwest Conference,1
Central Christian College of Kansas,Tigers,McPherson,Kansas,Sooner Athletic Conference,1
Central Methodist University,Eagles,Fayette,Missouri,Heart of America Athletic Conference,1
Cincinnati Christian University,Eagles,Cincinnati,Ohio,River States Conference,2
Clarke University,Crusaders,Dubuque,Iowa,Heart of America Athletic Conference,1
Cleary University,Cougars,Howell,Michigan,Association of Independent Institutions,–
College of Coastal Georgia,Mariners,Brunswick,Georgia,Sun Conference,2
Columbia College (MO),Cougars,Columbia,Missouri,American Midwest Conference,1
Columbia College (SC),Koalas,Columbia,South Carolina,Appalachian Athletic Conference,2
Concordia University–Michigan,Cardinals,Ann Arbor,Michigan,Wolverine–Hoosier Athletic Conference,2
Concordia University–Nebraska,Bulldogs,Seward,Nebraska,Great Plains Athletic Conference,2
Corban University,Warriors,Salem,Oregon,Cascade Collegiate Conference,2
