School,Nickname,City,State/Province,Conference,Division
Academy of Art University,Urban Knights,San Francisco,California,Pacific West Conference,2
Adams State University,Grizzlies,Alamosa,Colorado,Rocky Mountain Athletic Conference,2
Adelphi University,Panthers,Garden City,New York,Northeast-10 Conference,2
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,Gulf South Conference,2
University of Alaska Fairbanks,Nanooks,Fairbanks,Alaska,Great Northwest Athletic Conference,2
University of Alaska Anchorage,Seawolves,Anchorage,Alaska,Great Northwest Athletic Conference,2
Albany State University,Golden Rams,Albany,Georgia,Southern Intercollegiate Athletic Conference,2
Alderson Broaddus University,Battlers,Philippi,West Virginia,Great Midwest Athletic Conference,2
American International College,Yellow Jackets,Springfield,Massachusetts,Northeast-10 Conference,2
Anderson University,Trojans,Anderson,South Carolina,South Atlantic Conference,2
Angelo State University,Rams & Rambelles,San Angelo,Texas,Lone Star Conference,2
Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,Arkansas,Great American Conference,2
University of Arkansas – Fort Smith,Lions,Fort Smith,Arkansas,Heartland Conference[a],2
University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,Arkansas,Great American Conference,2
Ashland University,Eagles,Ashland,Ohio,Great Lakes Intercollegiate Athletic Conference,2
Assumption College,Greyhounds,Worcester,Massachusetts,Northeast-10 Conference,2
Augusta University,Jaguars,Augusta,Georgia,Peach Belt Conference,2
Augustana University,Vikings,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference,2
Azusa Pacific University,Cougars,Azusa,California,Pacific West Conference,2
Barry University,Buccaneers,Miami Shores,Florida,Sunshine State Conference,2
Barton College,Bulldogs,Wilson,North Carolina,Conference Carolinas,2
Bellarmine University,Knights,Louisville,Kentucky,Great Lakes Valley Conference,2
Belmont Abbey College,Crusaders,Belmont,North Carolina,Conference Carolinas,2
Bemidji State University,Beavers,Bemidji,Minnesota,Northern Sun Intercollegiate Conference,2
Benedict College,Tigers,Columbia,South Carolina,Southern Intercollegiate Athletic Conference,2
Bentley University,Falcons,Waltham,Massachusetts,Northeast-10 Conference,2
Black Hills State University,Yellow Jackets,Spearfish,South Dakota,Rocky Mountain Athletic Conference,2
Bloomfield College,Bears,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,2
Bloomsburg University of Pennsylvania,Huskies,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,2
Bluefield State College,Big Blues & Lady Blues,Bluefield,West Virginia,Independent,2
Bowie State University,Bulldogs,Bowie,Maryland,Central Intercollegiate Athletic Association,2
University of Bridgeport,Purple Knights,Bridgeport,Connecticut,East Coast Conference,2
Caldwell University,Cougars,Caldwell,New Jersey,Central Atlantic Collegiate Conference,2
California University of Pennsylvania,Vulcans,California,Pennsylvania,Pennsylvania State Athletic Conference,2
"California State Polytechnic University, Pomona",Broncos,Pomona,California,California Collegiate Athletic Association,2
"California State University, Chico",Wildcats,Chico,California,California Collegiate Athletic Association,2
"California State University, Dominguez Hills",Toros,Carson,California,California Collegiate Athletic Association,2
"California State University, East Bay",Pioneers,Hayward,California,California Collegiate Athletic Association,2
"California State University, Los Angeles",Golden Eagles,Los Angeles,California,California Collegiate Athletic Association,2
"California State University, Monterey Bay",Otters,Seaside,California,California Collegiate Athletic Association,2
"California State University, San Bernardino",Coyotes,San Bernardino,California,California Collegiate Athletic Association,2
California State University San Marcos,Cougars,San Marcos,California,California Collegiate Athletic Association,2
"California State University, Stanislaus",Warriors,Turlock,California,California Collegiate Athletic Association,2
"University of California,  San Diego ",Tritons,La Jolla,California,California Collegiate Athletic Association,2
Cameron University,Aggies,Lawton,Oklahoma,Lone Star Conference,2
Carson–Newman University,Eagles,Jefferson City,Tennessee,South Atlantic Conference,2
Catawba College,Indians,Salisbury,North Carolina,South Atlantic Conference,2
Cedarville University,Yellow Jackets,Cedarville,Ohio,Great Midwest Athletic Conference,2
University of Central Missouri,Mules & Jennies,Warrensburg,Missouri,Mid-America Intercollegiate Athletics Association,2
University of Central Oklahoma,Bronchos,Edmond,Oklahoma,Mid-America Intercollegiate Athletics Association,2
Central State University,Marauders & Lady Marauders,Wilberforce,Ohio,Southern Intercollegiate Athletic Conference,2
Central Washington University,Wildcats,Ellensburg,Washington,Great Northwest Athletic Conference,2
