School,Nickname,City,State/Province,Conference
Academy of Art University,Urban Knights,San Francisco,California,Pacific West Conference
Adams State University,Grizzlies,Alamosa,Colorado,Rocky Mountain Athletic Conference
Adelphi University,Panthers,Garden City,New York,Northeast-10 Conference
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,Gulf South Conference
University of Alaska Fairbanks,Nanooks,Fairbanks,Alaska,Great Northwest Athletic Conference
University of Alaska Anchorage,Seawolves,Anchorage,Alaska,Great Northwest Athletic Conference
Albany State University,Golden Rams,Albany,Georgia,Southern Intercollegiate Athletic Conference
Alderson Broaddus University,Battlers,Philippi,West Virginia,Great Midwest Athletic Conference
American International College,Yellow Jackets,Springfield,Massachusetts,Northeast-10 Conference
Anderson University,Trojans,Anderson,South Carolina,South Atlantic Conference
Angelo State University,Rams & Rambelles,San Angelo,Texas,Lone Star Conference
Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,Arkansas,Great American Conference
University of Arkansas – Fort Smith,Lions,Fort Smith,Arkansas,Heartland Conference
University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,Arkansas,Great American Conference
Ashland University,Eagles,Ashland,Ohio,Great Lakes Intercollegiate Athletic Conference
Assumption College,Greyhounds,Worcester,Massachusetts,Northeast-10 Conference
Augusta University,Jaguars,Augusta,Georgia,Peach Belt Conference
Augustana University,Vikings,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference
Azusa Pacific University,Cougars,Azusa,California,Pacific West Conference
Barry University,Buccaneers,Miami Shores,Florida,Sunshine State Conference
Barton College,Bulldogs,Wilson,North Carolina,Conference Carolinas
Bellarmine University,Knights,Louisville,Kentucky,Great Lakes Valley Conference
Belmont Abbey College,Crusaders,Belmont,North Carolina,Conference Carolinas
Bemidji State University,Beavers,Bemidji,Minnesota,Northern Sun Intercollegiate Conference
Benedict College,Tigers,Columbia,South Carolina,Southern Intercollegiate Athletic Conference
Bentley University,Falcons,Waltham,Massachusetts,Northeast-10 Conference
Black Hills State University,Yellow Jackets,Spearfish,South Dakota,Rocky Mountain Athletic Conference
Bloomfield College,Bears,Bloomfield,New Jersey,Central Atlantic Collegiate Conference
Bloomsburg University of Pennsylvania,Huskies,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference
Bluefield State College,Big Blues & Lady Blues,Bluefield,West Virginia,Independent
Bowie State University,Bulldogs,Bowie,Maryland,Central Intercollegiate Athletic Association
University of Bridgeport,Purple Knights,Bridgeport,Connecticut,East Coast Conference
Caldwell University,Cougars,Caldwell,New Jersey,Central Atlantic Collegiate Conference
California University of Pennsylvania,Vulcans,California,Pennsylvania,Pennsylvania State Athletic Conference
"California State Polytechnic University, Pomona",Broncos,Pomona,California,California Collegiate Athletic Association
"California State University, Chico",Wildcats,Chico,California,California Collegiate Athletic Association
"California State University, Dominguez Hills",Toros,Carson,California,California Collegiate Athletic Association
"California State University, East Bay",Pioneers,Hayward,California,California Collegiate Athletic Association
