School,Nickname,City,State,Conference
Adrian College,Bulldogs,Adrian,Michigan,Michigan Intercollegiate Athletic Association
Agnes Scott College,Scotties,Decatur,Georgia,USA South Athletic Conference
Albertus Magnus College,Falcons,New Haven,Connecticut,Great Northeast Athletic Conference
Albion College,Britons,Albion,Michigan,Michigan Intercollegiate Athletic Association
Albright College,Lions,Reading,Pennsylvania,MAC Commonwealth Conference
Alfred University,Saxons,Alfred,New York,Empire 8
Alfred State College,Pioneers,Alfred,New York,"American Collegiate Athletic Association
(Allegheny Mountain Collegiate Conference in 2019)"
Allegheny College,Gators,Meadville,Pennsylvania,North Coast Athletic Conference
Alma College,Scots,Alma,Michigan,Michigan Intercollegiate Athletic Association
Alvernia University,Crusaders,Reading,Pennsylvania,MAC Commonwealth Conference
Alverno College,Inferno,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
Amherst College,Mammoths,Amherst,Massachusetts,New England Small College Athletic Conference
Anderson University,Ravens and Lady Ravens,Anderson,Indiana,Heartland Collegiate Athletic Conference
Anna Maria College,AMCATS,Paxton,Massachusetts,Great Northeast Athletic Conference
Arcadia University,Knights,Glenside,Pennsylvania,MAC Commonwealth Conference
Augsburg University,Auggies,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference
Augustana College,Vikings,Rock Island,Illinois,College Conference of Illinois and Wisconsin
Aurora University,Spartans,Aurora,Illinois,Northern Athletics Collegiate Conference
Austin College,Kangaroos,Sherman,Texas,Southern Collegiate Athletic Conference
Averett University,Cougars,Danville,Virginia,USA South Athletic Conference
Babson College,Beavers,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference
Baldwin Wallace University,Yellow Jackets,Berea,Ohio,Ohio Athletic Conference
Bard College,Raptors,Annandale-on-Hudson,New York,Liberty League
Baruch College,Bearcats,New York,New York,City University of New York Athletic Conference
Bates College,Bobcats,Lewiston,Maine,New England Small College Athletic Conference
Bay Path University,Wildcats,Longmeadow,Massachusetts,New England Collegiate Conference
Becker College,Hawks,Worcester/Leicester,Massachusetts,New England Collegiate Conference
Belhaven University,Blazers,Jackson,Mississippi,American Southwest Conference
Beloit College,Buccaneers,Beloit,Wisconsin,Midwest Conference
Benedictine University,Eagles,Lisle,Illinois,Northern Athletics Collegiate Conference
Berea College,Mountaineers,Berea,Kentucky,USA South Athletic Conference
Berry College,Vikings,Mount Berry,Georgia,Southern Athletic Association
Bethany College,Bison,Bethany,West Virginia,Presidents' Athletic Conference
Bethany Lutheran College,Vikings,Mankato,Minnesota,Upper Midwest Athletic Conference
Bethel University,Royals,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference
Birmingham–Southern College,Panthers,Birmingham,Alabama,Southern Athletic Association
Blackburn College,Beavers,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference
Bluffton University,Beavers,Bluffton,Ohio,Heartland Collegiate Athletic Conference
Bowdoin College,Polar Bears,Brunswick,Maine,New England Small College Athletic Conference
Brandeis University,Judges,Waltham,Massachusetts,University Athletic Association
Brevard College,Tornados,Brevard,North Carolina,USA South Athletic Conference
Bridgewater College,Eagles,Bridgewater,Virginia,Old Dominion Athletic Conference
Bridgewater State University,Bears,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference
Brooklyn College,Bulldogs,Brooklyn,New York,City University of New York Athletic Conference
Bryn Athyn College,Lions,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference
Bryn Mawr College,Owls,Bryn Mawr,Pennsylvania,Centennial Conference
Buena Vista University,Beavers,Storm Lake,Iowa,Iowa Intercollegiate Athletic Conference
Buffalo State College,Bengals,Buffalo,New York,State University of New York Athletic Conference
Cabrini University,Cavaliers,Radnor,Pennsylvania,Atlantic East Conference
Cairn University,Highlanders,Langhorne,Pennsylvania,Colonial States Athletic Conference
California Institute of Technology,Beavers,Pasadena,California,Southern California Intercollegiate Athletic Conference
California Lutheran University,Kingsmen,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference
"University of California, Santa Cruz",Banana Slugs,Santa Cruz,California,Independent
Calvin College,Knights,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association
Capital University,Crusaders,Columbus,Ohio,Ohio Athletic Conference
Carleton College,Knights,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference
Carnegie Mellon University,Tartans,Pittsburgh,Pennsylvania,University Athletic Association
Carroll University,Pioneers,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin
Carthage College,Red Men/Lady Reds,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin
Case Western Reserve University,Spartans,Cleveland,Ohio,University Athletic Association
Castleton University,Spartans,Castleton,Vermont,Little East Conference
Catholic University of America,Cardinals,Washington,District of Columbia,Landmark Conference
Cazenovia College,Wildcats,Cazenovia,New York,North Eastern Athletic Conference
Cedar Crest College,Falcons,Allentown,Pennsylvania,Colonial States Athletic Conference
Centenary College of Louisiana,Gents and Ladies,Shreveport,Louisiana,Southern Collegiate Athletic Conference
Centenary College of New Jersey,Cyclones,Hackettstown,New Jersey,Colonial States Athletic Conference
Central College,Dutch,Pella,Iowa,Iowa Intercollegiate Athletic Conference
Centre College,Colonels,Danville,Kentucky,Southern Athletic Association
Chapman University,Panthers,Orange,California,Southern California Intercollegiate Athletic Conference
Chatham University,Cougars,Pittsburgh,Pennsylvania,Presidents' Athletic Conference
University of Chicago,Maroons,Chicago,Illinois,University Athletic Association
Christopher Newport University,Captains,Newport News,Virginia,Capital Athletic Conference
City College of New York (CCNY),Beavers,New York,New York,City University of New York Athletic Conference
Claremont–Mudd–Scripps,Stags and Athenas,Claremont,California,Southern California Intercollegiate Athletic Conference
Clark University,Cougars,Worcester,Massachusetts,New England Women's and Men's Athletic Conference
Clarks Summit University,Defenders,Clarks Summit,Pennsylvania,Colonial States Athletic Conference
Clarkson University,Golden Knights,Potsdam,New York,Liberty League
Coe College,Kohawks,Cedar Rapids,Iowa,Iowa Intercollegiate Athletic Conference
Colby College,White Mules,Waterville,Maine,New England Small College Athletic Conference
Colby–Sawyer College,Chargers,New London,New Hampshire,Great Northeast Athletic Conference
Colorado College,Tigers,Colorado Springs,Colorado,Southern Collegiate Athletic Conference
Concordia College,Cobbers,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference
Concordia University Chicago,Cougars,River Forest,Illinois,Northern Athletics Collegiate Conference
Concordia University Texas,Tornados,Austin,Texas,American Southwest Conference
Concordia University Wisconsin,Falcons,Mequon,Wisconsin,Northern Athletics Collegiate Conference
Connecticut College,Camels,New London,Connecticut,New England Small College Athletic Conference
Cornell College,Rams,Mount Vernon,Iowa,Midwest Conference
Covenant College,Scots,Lookout Mountain,Georgia,USA South Athletic Conference
Crown College,Storm,"St. Bonifacius",Minnesota,Upper Midwest Athletic Conference
Curry College,Colonels,Milton,Massachusetts,Commonwealth Coast Conference
University of Dallas,Crusaders,Irving,Texas,Southern Collegiate Athletic Conference
Dean College,Bulldogs,Franklin,Massachusetts,New England Collegiate Conference
Defiance College,Yellow Jackets and Lady Jackets,Defiance,Ohio,Heartland Collegiate Athletic Conference
Delaware Valley University,Aggies,Doylestown,Pennsylvania,MAC Freedom Conference
Denison University,Big Red,Granville,Ohio,North Coast Athletic Conference
DePauw University,Tigers,Greencastle,Indiana,North Coast Athletic Conference
