School,City,State,Other Affiliations,League,Division
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,NCAA,3
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,NCAA,2
Cincinnati Christian University,Cincinnati,Ohio,River States Conference,NAIA,
Concordia University Ann Arbor,Ann Arbor,Michigan,Wolverine-Hoosier Athletic Conference,NAIA,
Grace College,Winona Lake,Indiana,Crossroads League,NAIA,
Houghton College,Houghton,New York,Empire 8,NCAA,3
Huntington University,Huntington,Indiana,Crossroads League,NAIA,
Indiana Wesleyan University,Marion,Indiana,Crossroads League,NAIA,
Lancaster Bible College,Lancaster,Pennsylvania,North Eastern Athletic Conference,NCAA,3
Ohio Christian University,Circleville,Ohio,River States Conference,NAIA,
Roberts Wesleyan College,North Chili,New York,East Coast Conference,NCAA,2
