School,City,State,Other Affiliations,League,Division
Brewton-Parker College,Mount Vernon,Georgia,Southern States Athletic Conference,NAIA,
Carver College,Atlanta,Georgia,,,
Columbia International University,Columbia,South Carolina,,,
Emmanuel College,Franklin Springs,Georgia,Conference Carolinas,NCAA,2
John Wesley University,High Point,North Carolina,,,
North Greenville University,Tigerville,South Carolina,Conference Carolinas,NCAA,2
Piedmont International University,Winston-Salem,North Carolina,,,
Regent University,Virginia Beach,Virginia,,,
Southeastern University,Lakeland,Florida,The Sun Conference,NAIA,
Southern Wesleyan University,Central,South Carolina,Conference Carolinas,NCAA,2
Virginia University of Lynchburg,Lynchburg,Virginia,,,
Warner University,Lake Wales,Florida,The Sun Conference,NAIA,
