School,City,State,Other Affiliations,League,Division
Arlington Baptist University,Arlington,Texas,Independent,ACCA,
Baptist Bible College,Springfield,Missouri,,,
Barclay College,Haviland,Kansas,Midwest Christian College Conference,ACCA,
Central Christian College of the Bible,Moberly,Missouri,Midwest Christian College Conference,ACCA,
Dallas Christian College,Farmers Branch,Texas,Independent,ACCA,
Kansas Christian College,Overland Park,Kansas,Independent,ACCA,
Manhattan Christian College,Manhattan,Kansas,Midwest Christian College Conference,,
Ozark Christian College,Joplin,Missouri,Midwest Christian College Conference,ACCA,
Portland Bible College,Portland,Oregon,,,
Randall University[1],Moore,Oklahoma,Independent,ACCA,
